% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 1.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-02-04 T 14:54:52 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, 0.0000000000e+00, 6.0842201250e-01
1.0000000000e-02, 0.0000000000e+00, 6.1032269055e-01
2.0000000000e-02, 0.0000000000e+00, 6.1248377699e-01
3.0000000000e-02, 0.0000000000e+00, 6.1496573887e-01
4.0000000000e-02, 0.0000000000e+00, 6.1767043449e-01
5.0000000000e-02, 0.0000000000e+00, 6.2020038854e-01
6.0000000000e-02, 0.0000000000e+00, 6.2311165378e-01
7.0000000000e-02, 0.0000000000e+00, 6.2631302942e-01
8.0000000000e-02, 0.0000000000e+00, 6.3106825751e-01
9.0000000000e-02, 0.0000000000e+00, 6.3726568979e-01
1.0000000000e-01, 0.0000000000e+00, 6.4565181575e-01
1.1000000000e-01, 0.0000000000e+00, 6.5593639991e-01
1.2000000000e-01, 0.0000000000e+00, 6.6824609789e-01
1.3000000000e-01, 0.0000000000e+00, 6.8176948222e-01
1.4000000000e-01, 0.0000000000e+00, 6.9710578299e-01
1.5000000000e-01, 0.0000000000e+00, 7.1457109205e-01
1.6000000000e-01, 0.0000000000e+00, 7.3386729508e-01
1.7000000000e-01, 0.0000000000e+00, 7.5541212731e-01
1.8000000000e-01, 0.0000000000e+00, 7.7841701618e-01
1.9000000000e-01, 0.0000000000e+00, 8.0196535791e-01
2.0000000000e-01, 0.0000000000e+00, 8.2775888965e-01
2.1000000000e-01, 0.0000000000e+00, 8.5396909359e-01
2.2000000000e-01, 0.0000000000e+00, 8.8231890474e-01
2.3000000000e-01, 0.0000000000e+00, 9.1081638174e-01
2.4000000000e-01, 0.0000000000e+00, 9.4095428471e-01
2.5000000000e-01, 0.0000000000e+00, 9.7267073970e-01
2.6000000000e-01, 0.0000000000e+00, 1.0054178229e+00
2.7000000000e-01, 0.0000000000e+00, 1.0398970644e+00
2.8000000000e-01, 0.0000000000e+00, 1.0741568550e+00
2.9000000000e-01, 0.0000000000e+00, 1.1087223886e+00
3.0000000000e-01, 0.0000000000e+00, 1.1449708689e+00
3.1000000000e-01, 0.0000000000e+00, 1.1811556619e+00
3.2000000000e-01, 0.0000000000e+00, 1.2180951359e+00
3.3000000000e-01, 0.0000000000e+00, 1.2557956690e+00
3.4000000000e-01, 0.0000000000e+00, 1.2938406202e+00
3.5000000000e-01, 0.0000000000e+00, 1.3325396721e+00
3.6000000000e-01, 0.0000000000e+00, 1.3713367719e+00
3.7000000000e-01, 0.0000000000e+00, 1.4101366542e+00
3.8000000000e-01, 0.0000000000e+00, 1.4484649313e+00
3.9000000000e-01, 0.0000000000e+00, 1.4859586760e+00
4.0000000000e-01, 0.0000000000e+00, 1.5236931006e+00
4.1000000000e-01, 0.0000000000e+00, 1.5597298838e+00
4.2000000000e-01, 0.0000000000e+00, 1.5954520759e+00
4.3000000000e-01, 0.0000000000e+00, 1.6304481635e+00
4.4000000000e-01, 0.0000000000e+00, 1.6653456092e+00
4.5000000000e-01, 0.0000000000e+00, 1.6988812337e+00
4.6000000000e-01, 0.0000000000e+00, 1.7304309197e+00
4.7000000000e-01, 0.0000000000e+00, 1.7620241270e+00
4.8000000000e-01, 0.0000000000e+00, 1.7930484003e+00
4.9000000000e-01, 0.0000000000e+00, 1.8227075695e+00
5.0000000000e-01, 0.0000000000e+00, 1.8513895741e+00
5.1000000000e-01, 0.0000000000e+00, 1.8783262265e+00
5.2000000000e-01, 0.0000000000e+00, 1.9039864119e+00
5.3000000000e-01, 0.0000000000e+00, 1.9278535656e+00
5.4000000000e-01, 0.0000000000e+00, 1.9502227690e+00
5.5000000000e-01, 0.0000000000e+00, 1.9704377332e+00
5.6000000000e-01, 0.0000000000e+00, 1.9887898502e+00
5.7000000000e-01, 0.0000000000e+00, 2.0047735921e+00
5.8000000000e-01, 0.0000000000e+00, 2.0191174396e+00
5.9000000000e-01, 0.0000000000e+00, 2.0301930662e+00
6.0000000000e-01, 0.0000000000e+00, 2.0391804858e+00
6.1000000000e-01, 0.0000000000e+00, 2.0470863460e+00
6.2000000000e-01, 0.0000000000e+00, 2.0529949497e+00
6.3000000000e-01, 0.0000000000e+00, 2.0562512272e+00
6.4000000000e-01, 0.0000000000e+00, 2.0574753874e+00
6.5000000000e-01, 0.0000000000e+00, 2.0569483801e+00
6.6000000000e-01, 0.0000000000e+00, 2.0542848296e+00
6.7000000000e-01, 0.0000000000e+00, 2.0496441261e+00
6.8000000000e-01, 0.0000000000e+00, 2.0426531189e+00
6.9000000000e-01, 0.0000000000e+00, 2.0341662875e+00
7.0000000000e-01, 0.0000000000e+00, 2.0245428699e+00
7.1000000000e-01, 0.0000000000e+00, 2.0141493263e+00
7.2000000000e-01, 0.0000000000e+00, 2.0012973323e+00
7.3000000000e-01, 0.0000000000e+00, 1.9875974868e+00
7.4000000000e-01, 0.0000000000e+00, 1.9722731606e+00
7.5000000000e-01, 0.0000000000e+00, 1.9555522775e+00
7.6000000000e-01, 0.0000000000e+00, 1.9376001996e+00
7.7000000000e-01, 0.0000000000e+00, 1.9181301304e+00
7.8000000000e-01, 0.0000000000e+00, 1.8976640124e+00
7.9000000000e-01, 0.0000000000e+00, 1.8763357234e+00
8.0000000000e-01, 0.0000000000e+00, 1.8537190866e+00
8.1000000000e-01, 0.0000000000e+00, 1.8295065143e+00
8.2000000000e-01, 0.0000000000e+00, 1.8040006542e+00
8.3000000000e-01, 0.0000000000e+00, 1.7776591362e+00
8.4000000000e-01, 0.0000000000e+00, 1.7498819484e+00
8.5000000000e-01, 0.0000000000e+00, 1.7220139037e+00
8.6000000000e-01, 0.0000000000e+00, 1.6924279890e+00
8.7000000000e-01, 0.0000000000e+00, 1.6620131696e+00
8.8000000000e-01, 0.0000000000e+00, 1.6307277688e+00
8.9000000000e-01, 0.0000000000e+00, 1.5986553275e+00
9.0000000000e-01, 0.0000000000e+00, 1.5657552633e+00
9.1000000000e-01, 0.0000000000e+00, 1.5322801059e+00
9.2000000000e-01, 0.0000000000e+00, 1.4988868634e+00
9.3000000000e-01, 0.0000000000e+00, 1.4656340958e+00
9.4000000000e-01, 0.0000000000e+00, 1.4319142251e+00
9.5000000000e-01, 0.0000000000e+00, 1.3975612640e+00
9.6000000000e-01, 0.0000000000e+00, 1.3633773543e+00
9.7000000000e-01, 0.0000000000e+00, 1.3295357992e+00
9.8000000000e-01, 0.0000000000e+00, 1.2961905801e+00
9.9000000000e-01, 0.0000000000e+00, 1.2640852165e+00
1.0000000000e+00, 0.0000000000e+00, 1.2329106199e+00
1.0100000000e+00, 0.0000000000e+00, 1.2028101727e+00
1.0200000000e+00, 0.0000000000e+00, 1.1738564729e+00
1.0300000000e+00, 0.0000000000e+00, 1.1459213017e+00
1.0400000000e+00, 0.0000000000e+00, 1.1184282839e+00
1.0500000000e+00, 0.0000000000e+00, 1.0920175133e+00
1.0600000000e+00, 0.0000000000e+00, 1.0664918624e+00
1.0700000000e+00, 0.0000000000e+00, 1.0422944224e+00
1.0800000000e+00, 0.0000000000e+00, 1.0196033430e+00
1.0900000000e+00, 0.0000000000e+00, 9.9854093387e-01
1.1000000000e+00, 0.0000000000e+00, 9.7872544604e-01
1.1100000000e+00, 0.0000000000e+00, 9.6010569830e-01
1.1200000000e+00, 0.0000000000e+00, 9.4180591929e-01
1.1300000000e+00, 0.0000000000e+00, 9.2500577877e-01
1.1400000000e+00, 0.0000000000e+00, 9.0957493183e-01
1.1500000000e+00, 0.0000000000e+00, 8.9621684696e-01
1.1600000000e+00, 0.0000000000e+00, 8.8455230775e-01
1.1700000000e+00, 0.0000000000e+00, 8.7391439481e-01
1.1800000000e+00, 0.0000000000e+00, 8.6560121072e-01
1.1900000000e+00, 0.0000000000e+00, 8.6043562601e-01
1.2000000000e+00, 0.0000000000e+00, 8.5430056794e-01
1.2100000000e+00, 0.0000000000e+00, 8.4907923727e-01
1.2200000000e+00, 0.0000000000e+00, 8.4588170725e-01
1.2300000000e+00, 0.0000000000e+00, 8.4471248010e-01
1.2400000000e+00, 0.0000000000e+00, 8.4599632572e-01
1.2500000000e+00, 0.0000000000e+00, 8.4928943365e-01
1.2600000000e+00, 0.0000000000e+00, 8.5437632368e-01
1.2700000000e+00, 0.0000000000e+00, 8.6095356641e-01
1.2800000000e+00, 0.0000000000e+00, 8.6822252188e-01
1.2900000000e+00, 0.0000000000e+00, 8.7692389551e-01
1.3000000000e+00, 0.0000000000e+00, 8.8732488027e-01
1.3100000000e+00, 0.0000000000e+00, 8.9868314493e-01
1.3200000000e+00, 0.0000000000e+00, 9.1212858495e-01
1.3300000000e+00, 0.0000000000e+00, 9.2737828094e-01
1.3400000000e+00, 0.0000000000e+00, 9.4402612836e-01
1.3500000000e+00, 0.0000000000e+00, 9.6234300946e-01
1.3600000000e+00, 0.0000000000e+00, 9.8109722911e-01
1.3700000000e+00, 0.0000000000e+00, 1.0007566095e+00
1.3800000000e+00, 0.0000000000e+00, 1.0217015863e+00
1.3900000000e+00, 0.0000000000e+00, 1.0437722378e+00
1.4000000000e+00, 0.0000000000e+00, 1.0666444369e+00
1.4100000000e+00, 0.0000000000e+00, 1.0897848919e+00
1.4200000000e+00, 0.0000000000e+00, 1.1151759459e+00
1.4300000000e+00, 0.0000000000e+00, 1.1416558128e+00
1.4400000000e+00, 0.0000000000e+00, 1.1679789781e+00
1.4500000000e+00, 0.0000000000e+00, 1.1951228879e+00
1.4600000000e+00, 0.0000000000e+00, 1.2225082282e+00
1.4700000000e+00, 0.0000000000e+00, 1.2506900823e+00
1.4800000000e+00, 0.0000000000e+00, 1.2792030356e+00
