% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 1.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-01-28 T 16:05:52 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, 9.3133858965e-01, 1.4126916205e+00
1.0000000000e-02, 9.3139349145e-01, 1.4126828662e+00
2.0000000000e-02, 9.3151301856e-01, 1.4128257172e+00
3.0000000000e-02, 9.3154612848e-01, 1.4126205546e+00
4.0000000000e-02, 9.3168735369e-01, 1.4129284549e+00
5.0000000000e-02, 9.3169879677e-01, 1.4126673274e+00
6.0000000000e-02, 9.3176720518e-01, 1.4129202634e+00
7.0000000000e-02, 9.3185146507e-01, 1.4123761227e+00
8.0000000000e-02, 9.3194860625e-01, 1.4125254769e+00
9.0000000000e-02, 9.3200413336e-01, 1.4122445897e+00
1.0000000000e-01, 9.3212265999e-01, 1.4121272512e+00
1.1000000000e-01, 9.3215680166e-01, 1.4117342781e+00
1.2000000000e-01, 9.3220204250e-01, 1.4111107549e+00
1.3000000000e-01, 9.3230943868e-01, 1.4102272297e+00
1.4000000000e-01, 9.3237600243e-01, 1.4098591125e+00
1.5000000000e-01, 9.3246210698e-01, 1.4092715131e+00
1.6000000000e-01, 9.3255005617e-01, 1.4089606738e+00
1.7000000000e-01, 9.3261477527e-01, 1.4084556147e+00
1.8000000000e-01, 9.3262937615e-01, 1.4077613069e+00
1.9000000000e-01, 9.3276744356e-01, 1.4071479449e+00
2.0000000000e-01, 9.3280339862e-01, 1.4067447793e+00
2.1000000000e-01, 9.3292011186e-01, 1.4065032552e+00
2.2000000000e-01, 9.3297745236e-01, 1.4062831477e+00
2.3000000000e-01, 9.3307278015e-01, 1.4064138052e+00
2.4000000000e-01, 9.3307278015e-01, 1.4063776939e+00
2.5000000000e-01, 9.3320944063e-01, 1.4065479020e+00
2.6000000000e-01, 9.3323079481e-01, 1.4065158863e+00
2.7000000000e-01, 9.3337808547e-01, 1.4069707647e+00
2.8000000000e-01, 9.3340484854e-01, 1.4068343231e+00
2.9000000000e-01, 9.3353075377e-01, 1.4068773441e+00
3.0000000000e-01, 9.3353075377e-01, 1.4072477749e+00
3.1000000000e-01, 9.3363689934e-01, 1.4074578463e+00
3.2000000000e-01, 9.3368342206e-01, 1.4076358082e+00
3.3000000000e-01, 9.3381064043e-01, 1.4074959274e+00
3.4000000000e-01, 9.3383609035e-01, 1.4073081169e+00
3.5000000000e-01, 9.3398428771e-01, 1.4076366211e+00
3.6000000000e-01, 9.3398872738e-01, 1.4079784755e+00
3.7000000000e-01, 9.3406320125e-01, 1.4077400153e+00
3.8000000000e-01, 9.3414139568e-01, 1.4079256997e+00
3.9000000000e-01, 9.3423684853e-01, 1.4070485214e+00
4.0000000000e-01, 9.3429406397e-01, 1.4070910422e+00
4.1000000000e-01, 9.3441052708e-01, 1.4068964159e+00
4.2000000000e-01, 9.3444673226e-01, 1.4067280837e+00
4.3000000000e-01, 9.3448947188e-01, 1.4069480036e+00
4.4000000000e-01, 9.3459940056e-01, 1.4064447891e+00
4.5000000000e-01, 9.3466311917e-01, 1.4063135688e+00
4.6000000000e-01, 9.3475203758e-01, 1.4064051135e+00
4.7000000000e-01, 9.3483679772e-01, 1.4065345830e+00
4.8000000000e-01, 9.3490470588e-01, 1.4065516538e+00
4.9000000000e-01, 9.3491567999e-01, 1.4062445664e+00
5.0000000000e-01, 9.3505737417e-01, 1.4063691272e+00
5.1000000000e-01, 9.3508935854e-01, 1.4066005527e+00
5.2000000000e-01, 9.3521004247e-01, 1.4066631145e+00
5.3000000000e-01, 9.3526300583e-01, 1.4066339127e+00
5.4000000000e-01, 9.3536271076e-01, 1.4067478433e+00
5.5000000000e-01, 9.3536271076e-01, 1.4073551399e+00
5.6000000000e-01, 9.3549458765e-01, 1.4071084569e+00
5.7000000000e-01, 9.3551537905e-01, 1.4072606875e+00
5.8000000000e-01, 9.3566054368e-01, 1.4069650119e+00
5.9000000000e-01, 9.3568124129e-01, 1.4071294672e+00
6.0000000000e-01, 9.3582068437e-01, 1.4070146924e+00
6.1000000000e-01, 9.3582068437e-01, 1.4075561755e+00
6.2000000000e-01, 9.3591232287e-01, 1.4077026220e+00
6.3000000000e-01, 9.3597335267e-01, 1.4081140104e+00
6.4000000000e-01, 9.3608568877e-01, 1.4088471184e+00
6.5000000000e-01, 9.3612602096e-01, 1.4089969102e+00
6.6000000000e-01, 9.3625902340e-01, 1.4095480543e+00
6.7000000000e-01, 9.3627868925e-01, 1.4102611838e+00
6.8000000000e-01, 9.3633746795e-01, 1.4107588956e+00
6.9000000000e-01, 9.3643132628e-01, 1.4110970294e+00
7.0000000000e-01, 9.3651074006e-01, 1.4113557808e+00
7.1000000000e-01, 9.3658399458e-01, 1.4118340768e+00
7.2000000000e-01, 9.3668410596e-01, 1.4117781120e+00
7.3000000000e-01, 9.3673666287e-01, 1.4121268135e+00
7.4000000000e-01, 9.3676251925e-01, 1.4119643592e+00
7.5000000000e-01, 9.3688933116e-01, 1.4119761462e+00
7.6000000000e-01, 9.3693582261e-01, 1.4120723181e+00
7.7000000000e-01, 9.3704199946e-01, 1.4119008907e+00
7.8000000000e-01, 9.3710915725e-01, 1.4120851056e+00
7.9000000000e-01, 9.3719463649e-01, 1.4120857935e+00
8.0000000000e-01, 9.3719463649e-01, 1.4118032805e+00
8.1000000000e-01, 9.3733739369e-01, 1.4117815512e+00
8.2000000000e-01, 9.3735774738e-01, 1.4117165819e+00
8.3000000000e-01, 9.3749997307e-01, 1.4115345556e+00
8.4000000000e-01, 9.3753070683e-01, 1.4118530861e+00
8.5000000000e-01, 9.3765264137e-01, 1.4116376997e+00
8.6000000000e-01, 9.3765264137e-01, 1.4121688965e+00
8.7000000000e-01, 9.3776131943e-01, 1.4122688516e+00
8.8000000000e-01, 9.3780530966e-01, 1.4128839957e+00
8.9000000000e-01, 9.3793434141e-01, 1.4132569278e+00
9.0000000000e-01, 9.3795797795e-01, 1.4132657446e+00
9.1000000000e-01, 9.3810730086e-01, 1.4133924940e+00
9.2000000000e-01, 9.3811061498e-01, 1.4134979830e+00
9.3000000000e-01, 9.3818527644e-01, 1.4138484979e+00
9.4000000000e-01, 9.3826328328e-01, 1.4138160445e+00
9.5000000000e-01, 9.3835820462e-01, 1.4138957084e+00
9.6000000000e-01, 9.3841595157e-01, 1.4136929844e+00
9.7000000000e-01, 9.3853122660e-01, 1.4139603025e+00
9.8000000000e-01, 9.3856861986e-01, 1.4138394622e+00
9.9000000000e-01, 9.3860920218e-01, 1.4137916264e+00
1.0000000000e+00, 9.3872128816e-01, 1.4139453889e+00
1.0100000000e+00, 9.3878213036e-01, 1.4136944852e+00
1.0200000000e+00, 9.3887392518e-01, 1.4140382155e+00
1.0300000000e+00, 9.3895508981e-01, 1.4139711203e+00
1.0400000000e+00, 9.3902659348e-01, 1.4141210685e+00
1.0500000000e+00, 9.3903472245e-01, 1.4139766542e+00
1.0600000000e+00, 9.3917926177e-01, 1.4137697094e+00
1.0700000000e+00, 9.3920730671e-01, 1.4139809063e+00
1.0800000000e+00, 9.3933193006e-01, 1.4136932971e+00
1.0900000000e+00, 9.3937998478e-01, 1.4135249024e+00
1.1000000000e+00, 9.3948459836e-01, 1.4135740201e+00
1.1100000000e+00, 9.3948459836e-01, 1.4131027275e+00
1.1200000000e+00, 9.3961009714e-01, 1.4132630870e+00
1.1300000000e+00, 9.3963723539e-01, 1.4130445741e+00
1.1400000000e+00, 9.3978277520e-01, 1.4130034915e+00
1.1500000000e+00, 9.3980272244e-01, 1.4126518824e+00
1.1600000000e+00, 9.3994257197e-01, 1.4120231066e+00
1.1700000000e+00, 9.3994257197e-01, 1.4115564412e+00
1.1800000000e+00, 9.4003289733e-01, 1.4120998316e+00
1.1900000000e+00, 9.4009524027e-01, 1.4114051173e+00
1.2000000000e+00, 9.4020551286e-01, 1.4110457231e+00
1.2100000000e+00, 9.4024790856e-01, 1.4110475052e+00
1.2200000000e+00, 9.4037815966e-01, 1.4109895082e+00
1.2300000000e+00, 9.4040057685e-01, 1.4108665419e+00
1.2400000000e+00, 9.4045563499e-01, 1.4113135727e+00
1.2500000000e+00, 9.4055321388e-01, 1.4108815805e+00
1.2600000000e+00, 9.4062825052e-01, 1.4110295590e+00
1.2700000000e+00, 9.4070588218e-01, 1.4113793860e+00
1.2800000000e+00, 9.4080089732e-01, 1.4112650177e+00
1.2900000000e+00, 9.4085855047e-01, 1.4114728067e+00
1.3000000000e+00, 9.4087261984e-01, 1.4116275072e+00
1.3100000000e+00, 9.4101121876e-01, 1.4111559957e+00
1.3200000000e+00, 9.4104489145e-01, 1.4114043982e+00
1.3300000000e+00, 9.4116388706e-01, 1.4113033176e+00
1.3400000000e+00, 9.4121716307e-01, 1.4107513606e+00
1.3500000000e+00, 9.4131652409e-01, 1.4101101413e+00
1.3600000000e+00, 9.4131652409e-01, 1.4095457720e+00
1.3700000000e+00, 9.4144690024e-01, 1.4093185986e+00
1.3800000000e+00, 9.4146919238e-01, 1.4091386044e+00
1.3900000000e+00, 9.4161914059e-01, 1.4087431926e+00
1.4000000000e+00, 9.4163874392e-01, 1.4084386689e+00
1.4100000000e+00, 9.4177452897e-01, 1.4081801364e+00
1.4200000000e+00, 9.4177452897e-01, 1.4076084510e+00
1.4300000000e+00, 9.4186841856e-01, 1.4078341863e+00
1.4400000000e+00, 9.4192719726e-01, 1.4079375180e+00
1.4500000000e+00, 9.4204069017e-01, 1.4077676225e+00
1.4600000000e+00, 9.4207983429e-01, 1.4078329357e+00
1.4700000000e+00, 9.4221302432e-01, 1.4077327305e+00
1.4800000000e+00, 9.4223250258e-01, 1.4073369122e+00
1.4900000000e+00, 9.4229003067e-01, 1.4070539616e+00
1.5000000000e+00, 9.4238517087e-01, 1.4071584501e+00
1.5100000000e+00, 9.4246230229e-01, 1.4070491780e+00
1.5200000000e+00, 9.4253783917e-01, 1.4066572991e+00
1.5300000000e+00, 9.4263454264e-01, 1.4073584852e+00
1.5400000000e+00, 9.4269050746e-01, 1.4071150852e+00
1.5500000000e+00, 9.4271029838e-01, 1.4069853030e+00
1.5600000000e+00, 9.4284317576e-01, 1.4070937622e+00
1.5700000000e+00, 9.4288219481e-01, 1.4071661413e+00
1.5800000000e+00, 9.4299581278e-01, 1.4074206406e+00
1.5900000000e+00, 9.4305415377e-01, 1.4075171565e+00
1.6000000000e+00, 9.4314848108e-01, 1.4079955776e+00
1.6100000000e+00, 9.4314848108e-01, 1.4085756108e+00
1.6200000000e+00, 9.4328339070e-01, 1.4087729571e+00
1.6300000000e+00, 9.4330265010e-01, 1.4090143875e+00
1.6400000000e+00, 9.4345381766e-01, 1.4089615180e+00
1.6500000000e+00, 9.4347451527e-01, 1.4089313782e+00
1.6600000000e+00, 9.4360648596e-01, 1.4092917417e+00
1.6700000000e+00, 9.4360648596e-01, 1.4090906435e+00
1.6800000000e+00, 9.4370378347e-01, 1.4092339010e+00
1.6900000000e+00, 9.4375912299e-01, 1.4090278941e+00
1.7000000000e+00, 9.4387564863e-01, 1.4089194662e+00
1.7100000000e+00, 9.4391179128e-01, 1.4085936821e+00
1.7200000000e+00, 9.4404757633e-01, 1.4084482361e+00
1.7300000000e+00, 9.4406445957e-01, 1.4084883182e+00
1.7400000000e+00, 9.4412411370e-01, 1.4080866846e+00
1.7500000000e+00, 9.4421712787e-01, 1.4080734593e+00
1.7600000000e+00, 9.4429604140e-01, 1.4078833978e+00
