% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 1.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-02-04 T 14:48:18 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, 0.0000000000e+00, 1.4108732639e+00
1.0000000000e-02, 0.0000000000e+00, 1.4105804960e+00
2.0000000000e-02, 0.0000000000e+00, 1.4103187744e+00
3.0000000000e-02, 0.0000000000e+00, 1.4100974476e+00
4.0000000000e-02, 0.0000000000e+00, 1.4100689649e+00
5.0000000000e-02, 0.0000000000e+00, 1.4100696215e+00
6.0000000000e-02, 0.0000000000e+00, 1.4097501218e+00
7.0000000000e-02, 0.0000000000e+00, 1.4100279762e+00
8.0000000000e-02, 0.0000000000e+00, 1.4099609435e+00
9.0000000000e-02, 0.0000000000e+00, 1.4100455785e+00
1.0000000000e-01, 0.0000000000e+00, 1.4103777407e+00
1.1000000000e-01, 0.0000000000e+00, 1.4105740866e+00
1.2000000000e-01, 0.0000000000e+00, 1.4109910714e+00
1.3000000000e-01, 0.0000000000e+00, 1.4106426200e+00
1.4000000000e-01, 0.0000000000e+00, 1.4110571662e+00
1.5000000000e-01, 0.0000000000e+00, 1.4115328047e+00
1.6000000000e-01, 0.0000000000e+00, 1.4112547627e+00
1.7000000000e-01, 0.0000000000e+00, 1.4106159508e+00
1.8000000000e-01, 0.0000000000e+00, 1.4110536645e+00
1.9000000000e-01, 0.0000000000e+00, 1.4107157495e+00
2.0000000000e-01, 0.0000000000e+00, 1.4104811349e+00
2.1000000000e-01, 0.0000000000e+00, 1.4107864715e+00
2.2000000000e-01, 0.0000000000e+00, 1.4102666865e+00
2.3000000000e-01, 0.0000000000e+00, 1.4102987959e+00
2.4000000000e-01, 0.0000000000e+00, 1.4102639977e+00
2.5000000000e-01, 0.0000000000e+00, 1.4107490157e+00
2.6000000000e-01, 0.0000000000e+00, 1.4107745907e+00
2.7000000000e-01, 0.0000000000e+00, 1.4107770294e+00
2.8000000000e-01, 0.0000000000e+00, 1.4113079136e+00
2.9000000000e-01, 0.0000000000e+00, 1.4115823914e+00
3.0000000000e-01, 0.0000000000e+00, 1.4118176000e+00
3.1000000000e-01, 0.0000000000e+00, 1.4117113606e+00
3.2000000000e-01, 0.0000000000e+00, 1.4118674994e+00
3.3000000000e-01, 0.0000000000e+00, 1.4119879332e+00
3.4000000000e-01, 0.0000000000e+00, 1.4120120387e+00
3.5000000000e-01, 0.0000000000e+00, 1.4116447031e+00
3.6000000000e-01, 0.0000000000e+00, 1.4117657935e+00
3.7000000000e-01, 0.0000000000e+00, 1.4116045897e+00
3.8000000000e-01, 0.0000000000e+00, 1.4115047285e+00
3.9000000000e-01, 0.0000000000e+00, 1.4111233235e+00
4.0000000000e-01, 0.0000000000e+00, 1.4107009923e+00
4.1000000000e-01, 0.0000000000e+00, 1.4106844842e+00
4.2000000000e-01, 0.0000000000e+00, 1.4107502038e+00
4.3000000000e-01, 0.0000000000e+00, 1.4106100416e+00
4.4000000000e-01, 0.0000000000e+00, 1.4105790890e+00
4.5000000000e-01, 0.0000000000e+00, 1.4107174691e+00
4.6000000000e-01, 0.0000000000e+00, 1.4107779986e+00
4.7000000000e-01, 0.0000000000e+00, 1.4108756401e+00
4.8000000000e-01, 0.0000000000e+00, 1.4109659029e+00
4.9000000000e-01, 0.0000000000e+00, 1.4110108311e+00
5.0000000000e-01, 0.0000000000e+00, 1.4109573362e+00
5.1000000000e-01, 0.0000000000e+00, 1.4109627764e+00
5.2000000000e-01, 0.0000000000e+00, 1.4110019517e+00
5.3000000000e-01, 0.0000000000e+00, 1.4112001423e+00
5.4000000000e-01, 0.0000000000e+00, 1.4112208086e+00
5.5000000000e-01, 0.0000000000e+00, 1.4111368926e+00
5.6000000000e-01, 0.0000000000e+00, 1.4110415648e+00
5.7000000000e-01, 0.0000000000e+00, 1.4108708252e+00
5.8000000000e-01, 0.0000000000e+00, 1.4112029561e+00
5.9000000000e-01, 0.0000000000e+00, 1.4111136313e+00
6.0000000000e-01, 0.0000000000e+00, 1.4110924334e+00
6.1000000000e-01, 0.0000000000e+00, 1.4107778111e+00
6.2000000000e-01, 0.0000000000e+00, 1.4105276889e+00
6.3000000000e-01, 0.0000000000e+00, 1.4103693616e+00
6.4000000000e-01, 0.0000000000e+00, 1.4103302175e+00
6.5000000000e-01, 0.0000000000e+00, 1.4109364510e+00
6.6000000000e-01, 0.0000000000e+00, 1.4112382546e+00
6.7000000000e-01, 0.0000000000e+00, 1.4108141726e+00
6.8000000000e-01, 0.0000000000e+00, 1.4110021393e+00
6.9000000000e-01, 0.0000000000e+00, 1.4109027471e+00
7.0000000000e-01, 0.0000000000e+00, 1.4110111437e+00
7.1000000000e-01, 0.0000000000e+00, 1.4106830148e+00
7.2000000000e-01, 0.0000000000e+00, 1.4104170099e+00
7.3000000000e-01, 0.0000000000e+00, 1.4104691916e+00
7.4000000000e-01, 0.0000000000e+00, 1.4102013733e+00
7.5000000000e-01, 0.0000000000e+00, 1.4101325272e+00
7.6000000000e-01, 0.0000000000e+00, 1.4099685409e+00
7.7000000000e-01, 0.0000000000e+00, 1.4097469014e+00
7.8000000000e-01, 0.0000000000e+00, 1.4097657231e+00
7.9000000000e-01, 0.0000000000e+00, 1.4095029386e+00
8.0000000000e-01, 0.0000000000e+00, 1.4098199996e+00
8.1000000000e-01, 0.0000000000e+00, 1.4094428467e+00
8.2000000000e-01, 0.0000000000e+00, 1.4095702214e+00
8.3000000000e-01, 0.0000000000e+00, 1.4095201032e+00
8.4000000000e-01, 0.0000000000e+00, 1.4098505771e+00
8.5000000000e-01, 0.0000000000e+00, 1.4094854300e+00
