% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 1.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-02-04 T 15:15:59 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, -1.3621180206e+00, 1.3770904875e+00
1.0000000000e-02, -1.3919338914e+00, 1.3749848031e+00
2.0000000000e-02, -1.4182337953e+00, 1.3735602638e+00
3.0000000000e-02, -1.4409529197e+00, 1.3721290650e+00
4.0000000000e-02, -1.4600345179e+00, 1.3709170669e+00
5.0000000000e-02, -1.4754177479e+00, 1.3693247895e+00
6.0000000000e-02, -1.4870861327e+00, 1.3682498896e+00
7.0000000000e-02, -1.4949959636e+00, 1.3677656845e+00
8.0000000000e-02, -1.4991290129e+00, 1.3671846508e+00
9.0000000000e-02, -1.4994653959e+00, 1.3656831989e+00
1.0000000000e-01, -1.4960245283e+00, 1.3641986303e+00
1.1000000000e-01, -1.4887981561e+00, 1.3629760021e+00
1.2000000000e-01, -1.4778073834e+00, 1.3608007212e+00
1.3000000000e-01, -1.4630959502e+00, 1.3601685688e+00
1.4000000000e-01, -1.4446782074e+00, 1.3590985150e+00
1.5000000000e-01, -1.4226167792e+00, 1.3578467789e+00
1.6000000000e-01, -1.3969603456e+00, 1.3566945600e+00
1.7000000000e-01, -1.3677749390e+00, 1.3560250769e+00
1.8000000000e-01, -1.3351334386e+00, 1.3556568033e+00
1.9000000000e-01, -1.2991214487e+00, 1.3558848521e+00
2.0000000000e-01, -1.2598266372e+00, 1.3562814208e+00
2.1000000000e-01, -1.2173478648e+00, 1.3569984271e+00
2.2000000000e-01, -1.1717977177e+00, 1.3585744466e+00
2.3000000000e-01, -1.1232831232e+00, 1.3598842112e+00
2.4000000000e-01, -1.0719335819e+00, 1.3610103548e+00
2.5000000000e-01, -1.0178760309e+00, 1.3627306322e+00
2.6000000000e-01, -9.6124647406e-01, 1.3642229547e+00
2.7000000000e-01, -9.0218951324e-01, 1.3665625970e+00
2.8000000000e-01, -8.4085303315e-01, 1.3682978818e+00
2.9000000000e-01, -7.7739260974e-01, 1.3699009771e+00
3.0000000000e-01, -7.1196828993e-01, 1.3700393884e+00
3.1000000000e-01, -6.4474521683e-01, 1.3705977548e+00
3.2000000000e-01, -5.7589506803e-01, 1.3707499854e+00
3.3000000000e-01, -5.0558861441e-01, 1.3709127211e+00
3.4000000000e-01, -4.3400447443e-01, 1.3720367074e+00
3.5000000000e-01, -3.6132661291e-01, 1.3725365452e+00
3.6000000000e-01, -2.8773336694e-01, 1.3731904582e+00
3.7000000000e-01, -2.1341401644e-01, 1.3741434861e+00
3.8000000000e-01, -1.3855649691e-01, 1.3758566350e+00
3.9000000000e-01, -6.3347336936e-02, 1.3773080625e+00
4.0000000000e-01, 1.2020056549e-02, 1.3791604044e+00
4.1000000000e-01, 8.7359061172e-02, 1.3814256355e+00
4.2000000000e-01, 1.6247511318e-01, 1.3840733658e+00
4.3000000000e-01, 2.3718262197e-01, 1.3871895123e+00
4.4000000000e-01, 3.1129015029e-01, 1.3905344268e+00
4.5000000000e-01, 3.8461160731e-01, 1.3939202988e+00
4.6000000000e-01, 4.5696174630e-01, 1.3971144521e+00
4.7000000000e-01, 5.2815572703e-01, 1.4007912787e+00
4.8000000000e-01, 5.9801783869e-01, 1.4041915014e+00
