% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 2.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-01-28 T 17:02:38 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, -1.2907481102e+00, 1.4566986391e+00
5.0000000000e-03, -1.3109638560e+00, 1.4546627701e+00
1.0000000000e-02, -1.3302131299e+00, 1.4524085444e+00
1.5000000000e-02, -1.3484899914e+00, 1.4498094003e+00
2.0000000000e-02, -1.3657787456e+00, 1.4467282709e+00
2.5000000000e-02, -1.3820616960e+00, 1.4445336368e+00
3.0000000000e-02, -1.3973367169e+00, 1.4423567614e+00
3.5000000000e-02, -1.4115808594e+00, 1.4393115870e+00
4.0000000000e-02, -1.4247953742e+00, 1.4370626139e+00
4.5000000000e-02, -1.4369642534e+00, 1.4351631240e+00
5.0000000000e-02, -1.4480734277e+00, 1.4323378695e+00
5.5000000000e-02, -1.4581307759e+00, 1.4295333751e+00
6.0000000000e-02, -1.4671136620e+00, 1.4267546433e+00
6.5000000000e-02, -1.4750125813e+00, 1.4244444528e+00
7.0000000000e-02, -1.4818417283e+00, 1.4220692931e+00
7.5000000000e-02, -1.4875830941e+00, 1.4196308525e+00
8.0000000000e-02, -1.4922326143e+00, 1.4165168945e+00
8.5000000000e-02, -1.4957884130e+00, 1.4142425966e+00
9.0000000000e-02, -1.4982475513e+00, 1.4118399234e+00
9.5000000000e-02, -1.4996052767e+00, 1.4083737310e+00
1.0000000000e-01, -1.4998477076e+00, 1.4062075483e+00
1.0500000000e-01, -1.4990216793e+00, 1.4032107725e+00
1.1000000000e-01, -1.4970801062e+00, 1.4001048810e+00
1.1500000000e-01, -1.4940376832e+00, 1.3981907589e+00
1.2000000000e-01, -1.4899029769e+00, 1.3955928654e+00
1.2500000000e-01, -1.4846716100e+00, 1.3932405294e+00
1.3000000000e-01, -1.4783536501e+00, 1.3907586925e+00
1.3500000000e-01, -1.4709547250e+00, 1.3878988587e+00
1.4000000000e-01, -1.4624829634e+00, 1.3855591538e+00
1.4500000000e-01, -1.4529276729e+00, 1.3827914899e+00
1.5000000000e-01, -1.4423081752e+00, 1.3803921308e+00
1.5500000000e-01, -1.4306419789e+00, 1.3783509467e+00
1.6000000000e-01, -1.4179120132e+00, 1.3757736883e+00
1.6500000000e-01, -1.4041534828e+00, 1.3731085745e+00
1.7000000000e-01, -1.3893573208e+00, 1.3701061085e+00
1.7500000000e-01, -1.3735501651e+00, 1.3674701339e+00
1.8000000000e-01, -1.3567270759e+00, 1.3651902082e+00
1.8500000000e-01, -1.3389186305e+00, 1.3632565140e+00
1.9000000000e-01, -1.3201192638e+00, 1.3606330456e+00
1.9500000000e-01, -1.3003567394e+00, 1.3582405649e+00
2.0000000000e-01, -1.2796423126e+00, 1.3565748766e+00
2.0500000000e-01, -1.2579844252e+00, 1.3549345131e+00
2.1000000000e-01, -1.2354057757e+00, 1.3525260246e+00
2.1500000000e-01, -1.2119251858e+00, 1.3503256377e+00
2.2000000000e-01, -1.1875527229e+00, 1.3485236329e+00
2.2500000000e-01, -1.1623079591e+00, 1.3465319104e+00
2.3000000000e-01, -1.1362124674e+00, 1.3441905171e+00
2.3500000000e-01, -1.1092830060e+00, 1.3422542592e+00
2.4000000000e-01, -1.0815405852e+00, 1.3407285768e+00
2.4500000000e-01, -1.0530054023e+00, 1.3383562935e+00
2.5000000000e-01, -1.0236973420e+00, 1.3367982827e+00
2.5500000000e-01, -9.9364060368e-01, 1.3353401958e+00
2.6000000000e-01, -9.6285288342e-01, 1.3335580131e+00
2.6500000000e-01, -9.3136063166e-01, 1.3321079301e+00
2.7000000000e-01, -8.9918473359e-01, 1.3304879516e+00
2.7500000000e-01, -8.6634920094e-01, 1.3288942984e+00
2.8000000000e-01, -8.3287848315e-01, 1.3276277425e+00
2.8500000000e-01, -7.9879734231e-01, 1.3260426561e+00
2.9000000000e-01, -7.6412991520e-01, 1.3245613078e+00
2.9500000000e-01, -7.2890146416e-01, 1.3230978432e+00
3.0000000000e-01, -6.9313975274e-01, 1.3219851749e+00
3.0500000000e-01, -6.5687035594e-01, 1.3214427225e+00
3.1000000000e-01, -6.2011853608e-01, 1.3200892492e+00
3.1500000000e-01, -5.8291130636e-01, 1.3188802213e+00
3.2000000000e-01, -5.4527636780e-01, 1.3178711662e+00
3.2500000000e-01, -5.0724229685e-01, 1.3172832541e+00
3.3000000000e-01, -4.6883835781e-01, 1.3164132668e+00
3.3500000000e-01, -4.3008749938e-01, 1.3158767548e+00
3.4000000000e-01, -3.9102129947e-01, 1.3149819429e+00
3.4500000000e-01, -3.5167064818e-01, 1.3143564500e+00
3.5000000000e-01, -3.1206174579e-01, 1.3139636958e+00
3.5500000000e-01, -2.7222116778e-01, 1.3133139410e+00
3.6000000000e-01, -2.3218274317e-01, 1.3134054857e+00
3.6500000000e-01, -1.9197554865e-01, 1.3129826542e+00
3.7000000000e-01, -1.5162572199e-01, 1.3126519928e+00
3.7500000000e-01, -1.1116459098e-01, 1.3124491437e+00
3.8000000000e-01, -7.0624171255e-02, 1.3124943533e+00
3.8500000000e-01, -3.0029537561e-02, 1.3122887529e+00
3.9000000000e-01, 1.0587919777e-02, 1.3123923660e+00
3.9500000000e-01, 5.1192933540e-02, 1.3124289464e+00
4.0000000000e-01, 9.1765306365e-02, 1.3122975697e+00
4.0500000000e-01, 1.3226989609e-01, 1.3127491652e+00
4.1000000000e-01, 1.7267312383e-01, 1.3130663826e+00
4.1500000000e-01, 2.1295410438e-01, 1.3134461931e+00
4.2000000000e-01, 2.5307732039e-01, 1.3141130812e+00
4.2500000000e-01, 2.9301563362e-01, 1.3145457299e+00
4.3000000000e-01, 3.3273859170e-01, 1.3154010851e+00
4.3500000000e-01, 3.7221761818e-01, 1.3156724676e+00
4.4000000000e-01, 4.1142394900e-01, 1.3168893117e+00
4.4500000000e-01, 4.5032700675e-01, 1.3177090245e+00
4.5000000000e-01, 4.8890196679e-01, 1.3185049131e+00
4.5500000000e-01, 5.2711800159e-01, 1.3196108281e+00
4.6000000000e-01, 5.6494678480e-01, 1.3207655169e+00
4.6500000000e-01, 6.0236036527e-01, 1.3219830489e+00
4.7000000000e-01, 6.3933404346e-01, 1.3228005730e+00
4.7500000000e-01, 6.7583855506e-01, 1.3241088994e+00
4.8000000000e-01, 7.1184813751e-01, 1.3251894895e+00
4.8500000000e-01, 7.4733408928e-01, 1.3264711153e+00
4.9000000000e-01, 7.8227189841e-01, 1.3275477660e+00
4.9500000000e-01, 8.1663680281e-01, 1.3292008231e+00
5.0000000000e-01, 8.5040310242e-01, 1.3306847977e+00
5.0500000000e-01, 8.8354578504e-01, 1.3319105212e+00
5.1000000000e-01, 9.1604058882e-01, 1.3339921626e+00
5.1500000000e-01, 9.4786331444e-01, 1.3354292393e+00
5.2000000000e-01, 9.7899095068e-01, 1.3372828943e+00
5.2500000000e-01, 1.0094011741e+00, 1.3392690516e+00
5.3000000000e-01, 1.0390702232e+00, 1.3407049402e+00
5.3500000000e-01, 1.0679780880e+00, 1.3425425250e+00
5.4000000000e-01, 1.0961033833e+00, 1.3445575088e+00
5.4500000000e-01, 1.1234238481e+00, 1.3462936690e+00
5.5000000000e-01, 1.1499220364e+00, 1.3482424956e+00
5.5500000000e-01, 1.1755725608e+00, 1.3505487467e+00
5.6000000000e-01, 1.2003662919e+00, 1.3526337647e+00
5.6500000000e-01, 1.2242769668e+00, 1.3550776455e+00
5.7000000000e-01, 1.2472918293e+00, 1.3563489538e+00
5.7500000000e-01, 1.2693896190e+00, 1.3585430251e+00
5.8000000000e-01, 1.2905563291e+00, 1.3610161076e+00
5.8500000000e-01, 1.3107805790e+00, 1.3629083440e+00
5.9000000000e-01, 1.3300387322e+00, 1.3652212859e+00
5.9500000000e-01, 1.3483247233e+00, 1.3673597050e+00
6.0000000000e-01, 1.3656228569e+00, 1.3700660889e+00
6.0500000000e-01, 1.3819153121e+00, 1.3731625383e+00
6.1000000000e-01, 1.3971993999e+00, 1.3755758417e+00
6.1500000000e-01, 1.4114531721e+00, 1.3781979345e+00
6.2000000000e-01, 1.4246775667e+00, 1.3803141553e+00
6.2500000000e-01, 1.4368562006e+00, 1.3832244513e+00
6.3000000000e-01, 1.4479752547e+00, 1.3850592222e+00
6.3500000000e-01, 1.4580421701e+00, 1.3876656823e+00
6.4000000000e-01, 1.4670351236e+00, 1.3902690159e+00
6.4500000000e-01, 1.4749445481e+00, 1.3929404453e+00
6.5000000000e-01, 1.4817825744e+00, 1.3955136392e+00
6.5500000000e-01, 1.4875354459e+00, 1.3980484394e+00
6.6000000000e-01, 1.4921947208e+00, 1.4005570393e+00
6.6500000000e-01, 1.4957600242e+00, 1.4027847520e+00
