% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 2.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-01-28 T 17:11:43 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, 3.5434401601e-01, 1.3158413000e+00
5.0000000000e-03, 3.9417740301e-01, 1.3160925477e+00
1.0000000000e-02, 4.3371533325e-01, 1.3161089932e+00
1.5000000000e-02, 4.7292654145e-01, 1.3163305389e+00
2.0000000000e-02, 5.1177963730e-01, 1.3161967236e+00
2.5000000000e-02, 5.5025073414e-01, 1.3162478735e+00
3.0000000000e-02, 5.8830787885e-01, 1.3164420934e+00
3.5000000000e-02, 6.2592149450e-01, 1.3164170812e+00
4.0000000000e-02, 6.6306281704e-01, 1.3166627011e+00
4.5000000000e-02, 6.9970833499e-01, 1.3176279224e+00
5.0000000000e-02, 7.3582609526e-01, 1.3179357602e+00
5.5000000000e-02, 7.7139177346e-01, 1.3189039204e+00
6.0000000000e-02, 8.0637598024e-01, 1.3195518618e+00
6.5000000000e-02, 8.4075370340e-01, 1.3198024216e+00
7.0000000000e-02, 8.7449842998e-01, 1.3207875276e+00
7.5000000000e-02, 9.0758621079e-01, 1.3218527978e+00
8.0000000000e-02, 9.3999122073e-01, 1.3232080220e+00
8.5000000000e-02, 9.7168976071e-01, 1.3234331319e+00
9.0000000000e-02, 1.0026574438e+00, 1.3248588906e+00
9.5000000000e-02, 1.0328696956e+00, 1.3262261832e+00
1.0000000000e-01, 1.0623062561e+00, 1.3274115745e+00
1.0500000000e-01, 1.0909444268e+00, 1.3283448427e+00
1.1000000000e-01, 1.1187608838e+00, 1.3298119965e+00
1.1500000000e-01, 1.1457348669e+00, 1.3309213507e+00
1.2000000000e-01, 1.1718482424e+00, 1.3325624020e+00
1.2500000000e-01, 1.1970818757e+00, 1.3341225387e+00
1.3000000000e-01, 1.2214128808e+00, 1.3358628260e+00
1.3500000000e-01, 1.2448276261e+00, 1.3372199886e+00
1.4000000000e-01, 1.2673012243e+00, 1.3391119749e+00
1.4500000000e-01, 1.2888252339e+00, 1.3414043442e+00
1.5000000000e-01, 1.3093817085e+00, 1.3429256495e+00
1.5500000000e-01, 1.3289477620e+00, 1.3447412235e+00
1.6000000000e-01, 1.3475191424e+00, 1.3464776339e+00
1.6500000000e-01, 1.3650764651e+00, 1.3483472342e+00
1.7000000000e-01, 1.3816037850e+00, 1.3506815615e+00
1.7500000000e-01, 1.3970965371e+00, 1.3525514120e+00
1.8000000000e-01, 1.4115328985e+00, 1.3548875527e+00
1.8500000000e-01, 1.4249129941e+00, 1.3571071365e+00
1.9000000000e-01, 1.4372200658e+00, 1.3590070641e+00
1.9500000000e-01, 1.4484407320e+00, 1.3612599141e+00
2.0000000000e-01, 1.4585818086e+00, 1.3631986733e+00
2.0500000000e-01, 1.4676194089e+00, 1.3663939835e+00
2.1000000000e-01, 1.4755481553e+00, 1.3681093835e+00
